Gabor
AU      N       ROC area
9       59.2187904297   10.4896780802
17      50.9275672507   5.10322564193
1       44.1962928028   12.3824353031
2       55.6928985868   24.6745024863
20      45.6120218267   2.71394264325
21      51.8484799466   10.2829813985
25      48.5334593695   3.34755599394
5       50.5161074621   2.87403507584
27      48.0888753351   1.3432577332
4       52.3386130829   8.79471543621
7       50.0    0.0
23      57.306868216    4.58524640343
24      50.5292763507   4.25183001236
6       51.8441272195   15.2772628023
16      54.7297376275   10.8313699528
12      34.4196192956   21.0576686253
15      52.5397507432   2.11031381143
39      53.813559322    24.9152542373
45      53.7013336408   6.49563780314
10      51.9599795369   2.67151962303
43      50.7284936234   12.4415661317
14      52.5015206378   1.73184244526
11      47.2339260967   5.38983800906
38      51.6502990235   17.6001931886
28      50.0    0.0
26      50.0    0.0
22      30.6659413651   47.142693541
18      23.5593220339   3.72881355932
31      50.0    0.0
62      62.1169526875   21.1041729167
54      42.4031592056   16.2895719997
64      46.1289383046   22.6333032304
44      50.0    0.0
30      50.0539192243   13.38697124
63      43.9738891434   22.863032524
61      50.0    0.0
34      50.0    0.0
29      15.0732936326   16.6330737517
13      50.0    0.0
PCA
AU      N       ROC area
9       59.655224188    13.8751084109
17      54.2244476262   0.25594894285
1       54.3997408659   5.06934512743
2       60.7481132954   8.79148367669
20      54.5093936486   6.40334718186
21      52.8824694095   11.1748850557
25      60.8952180974   2.19853439343
5       49.9906658165   10.3111927441
27      41.4995406765   3.51352368905
4       49.4636051981   2.88341192136
7       50.0    0.0
23      45.5656212474   3.65508229145
24      55.1900969141   2.43293142197
6       59.9600722339   10.9993957621
16      57.135808494    1.23238216458
12      51.4060026037   1.10552056578
15      49.4244778506   7.04690154611
39      54.5762711864   73.8983050847
45      37.5429493831   25.5943733426
10      53.1982343499   2.65115034778
43      57.774524543    0.844782468069
14      51.347369696    10.6168885149
11      48.1577169875   4.63694697737
38      55.6845062232   9.01965152124
28      50.0    0.0
26      50.0    0.0
22      73.982478241    47.2892808062
18      67.3728813559   32.0338983051
31      50.0    0.0
62      53.2433653516   4.97234402985
54      53.2940071224   16.699656988
64      36.4268009961   23.251781742
44      50.0    0.0
30      46.048239956    15.452881296
63      31.9789280806   0.907008703619
61      50.0    0.0
34      50.0    0.0
29      72.9180027485   10.9207512597
13      50.0    0.0

LLE:
AU      N       ROC area
9       62.405079832    3.3354391226
17      61.6793852484   1.61595144456
1       48.2459335583   0.902237899988
2       62.3331229507   1.1990154574
20      50.3917541123   1.14425858532
21      55.8267838731   0.296040864424
25      51.1259813885   1.85342937988
5       42.4652683731   2.04862992055
27      32.1490316557   1.4409204542
4       49.9735822249   4.41174112966
7       50.0    0.0
23      38.3729486002   2.52937298392
24      48.2670358017   3.21782915693
6       60.4445268405   10.375314135
16      49.58259082     0.268051052432
12      65.7626696222   9.60094061903
15      45.7559751439   0.308778003532
39      35.0    32.7118644068
45      58.8321995465   37.664399093
10      50.8533036712   3.71161987365
43      53.8620375735   6.22941322519
14      52.7102798178   0.99804501564
11      57.3124177526   1.14965820028
38      55.9163769248   0.232023478332
28      50.0    0.0
26      50.0    0.0
22      69.1994961063   6.19560238204
18      40.8474576271   12.5423728814
31      50.0    0.0
62      64.1766592834   5.31654513848
54      51.8378449236   14.6804745363
64      34.4477284011   17.4733862676
44      50.0    0.0
30      52.3975132856   17.0787635953
63      38.2524049473   14.3426477325
61      50.0    0.0
34      50.0    0.0
29      56.187585891    13.7265231333
13      50.0    0.0
ISOMAP:
AU      N       ROC area
9       52.7972683561   6.65036124699
17      55.3532191554   1.41330475069
1       54.8498726695   3.06300905176
2       56.3913318283   1.24667689314
20      50.2736524627   0.895696517576
21      58.1216841713   0.500760815816
25      56.3331315758   5.65033177905
5       62.0228280742   3.29809385157
27      44.9932607452   8.34786602813
4       48.7704341168   10.4432287487
7       50.0    0.0
23      54.9474347202   5.93475548021
24      47.3432757098   7.96250820416
6       56.7080706958   3.07131380546
16      54.0465458663   4.79424340161
12      62.934713768    18.8728405053
15      47.3250288672   9.3466030191
39      70.3389830508   17.2881355932
45      42.0348591414   16.2692647681
10      47.9486403274   6.5839223527
43      53.6322077199   11.5493449398
14      54.1637635149   0.29572878417
11      43.5318916023   2.24108816919
38      55.1959607807   9.28419179885
28      50.0    0.0
26      50.0    0.0
22      83.92693541     1.63765460376
18      41.6101694915   63.2203389831
31      50.0    0.0
62      47.702686195    17.1135574434
54      45.7808983854   2.82176487295
64      44.2420315182   20.6797399419
44      50.0    0.0
30      47.8070532374   8.97066861178
63      16.606161246    28.4825927623
61      50.0    0.0
34      50.0    0.0
29      50.5594365552   38.7459917545
13      50.0    0.0
